Groupe	ID	Nom	Genre	Pays	Domaine	CreatTS	ModifTS	Info	
Groupe	198	St. Petersburg String Quartet			MUS	2024-11-30T09:10:44		
Groupe	199	Steel Pulse			MUS	2024-11-30T09:10:44		
Groupe	200	Steely Dan			MUS	2024-11-30T09:10:44		
Groupe	201	Steppenwolf			MUS	2024-11-30T09:10:44		
Groupe	202	Sugarhill Gang			MUS	2024-11-30T09:10:44		
Groupe	203	Suicide			MUS	2024-11-30T09:10:44		
Groupe	204	Sun Ra			MUS	2024-11-30T09:10:44		
Groupe	205	T Rex			MUS	2024-11-30T09:10:44		
Groupe	206	Talking Heads			MUS	2024-11-30T09:10:44		
Groupe	207	Tangerine Dream			MUS	2024-11-30T09:10:44		
Groupe	208	Taxi Girl			MUS	2024-11-30T09:10:44		
Groupe	209	Telephone			MUS	2024-11-30T09:10:44		
Groupe	210	Television			MUS	2024-11-30T09:10:44		
Groupe	211	Ten Years After			MUS	2024-11-30T09:10:44		
Groupe	212	Tetes Raides			MUS	2024-11-30T09:10:44		
Groupe	213	Texas			MUS	2024-11-30T09:10:44		
Groupe	214	The B-52's			MUS	2024-11-30T09:10:44		
Groupe	215	The Blues Brothers			MUS	2024-11-30T09:10:44		
Groupe	216	The Commitments			MUS	2024-11-30T09:10:44		
Groupe	217	The Cramps			MUS	2024-11-30T09:10:44		
Groupe	218	The Cranberries			MUS	2024-11-30T09:10:44		
Groupe	219	The Cure			MUS	2024-11-30T09:10:44		
Groupe	220	The Divine Comedy			MUS	2024-11-30T09:10:44		
Groupe	221	The Ethiopians			MUS	2024-11-30T09:10:44		
Groupe	222	The Faboulous Troubadour			MUS	2024-11-30T09:10:44		
Groupe	223	The Fabulous Thunderbirds			MUS	2024-11-30T09:10:44		
Groupe	224	The Fleshtones			MUS	2024-11-30T09:10:44		
Groupe	225	The Go-Go s			MUS	2024-11-30T09:10:44		
Groupe	226	The Go! Team			MUS	2024-11-30T09:10:44		
Groupe	227	The Gun Club			MUS	2024-11-30T09:10:44		
Groupe	228	The Jam			MUS	2024-11-30T09:10:44		
Groupe	229	The Kills			MUS	2024-11-30T09:10:44		
Groupe	230	The Kooks			MUS	2024-11-30T09:10:44		
Groupe	231	The Lords of Altamont			MUS	2024-11-30T09:10:44		
Groupe	232	The Mamas and the Papas			MUS	2024-11-30T09:10:44		
Groupe	233	The Penelopes			MUS	2024-11-30T09:10:44		
Groupe	234	The Police			MUS	2024-11-30T09:10:44		
Groupe	235	The Pretty Things			MUS	2024-11-30T09:10:44		
Groupe	236	The Prodigy			MUS	2024-11-30T09:10:44		
Groupe	237	The Servant			MUS	2024-11-30T09:10:44		
Groupe	238	The Sex Pistols			MUS	2024-11-30T09:10:44		
Groupe	239	The Shoes			MUS	2024-11-30T09:10:44		
Groupe	240	The Small Faces			MUS	2024-11-30T09:10:44		
Groupe	241	The Smiths			MUS	2024-11-30T09:10:44		
Groupe	242	The Staple Singers			MUS	2024-11-30T09:10:44		
Groupe	243	The Stlye Council			MUS	2024-11-30T09:10:44		
Groupe	244	The Supremes			MUS	2024-11-30T09:10:44		
Groupe	245	The Temper Trap			MUS	2024-11-30T09:10:44		
Groupe	246	The Temptations			MUS	2024-11-30T09:10:44		
Groupe	247	The Trammps			MUS	2024-11-30T09:10:44		
Groupe	248	The Undertones			MUS	2024-11-30T09:10:44		
Groupe	249	The Verve			MUS	2024-11-30T09:10:44		
Groupe	250	The Volunteered Slaves			MUS	2024-11-30T09:10:44		
Groupe	251	The White Stripes			MUS	2024-11-30T09:10:44		
Groupe	252	The Who			MUS	2024-11-30T09:10:44		
Groupe	253	Third World			MUS	2024-11-30T09:10:44		
Groupe	254	Tindersticks			MUS	2024-11-30T09:10:44		
Groupe	255	Tom Tom Club			MUS	2024-11-30T09:10:44		
Groupe	256	Trio Beyond			MUS	2024-11-30T09:10:44		
Groupe	257	Trust			MUS	2024-11-30T09:10:44		
Groupe	258	U2			MUS	2024-11-30T09:10:44		
Groupe	259	Ultravox			MUS	2024-11-30T09:10:44		
Groupe	260	Urban dub			MUS	2024-11-30T09:10:44		
Groupe	261	Wailing Souls			MUS	2024-11-30T09:10:44		
Groupe	262	Warpaint			MUS	2024-11-30T09:10:44		
Groupe	263	Wax Tailor			MUS	2024-11-30T09:10:44		
Groupe	264	Weather Report			MUS	2024-11-30T09:10:44		
Groupe	265	West Coast Hip Hop			MUS	2024-11-30T09:10:44		
Groupe	266	White Lies			MUS	2024-11-30T09:10:44		
Groupe	267	Woodkid			MUS	2024-11-30T09:10:44		
Groupe	268	Yes			MUS	2024-11-30T09:10:44		
Groupe	269	Zebda			MUS	2024-11-30T09:10:44		
Groupe	270	ZZ Top			MUS	2024-11-30T09:10:44		
Groupe	271	The Strokes	Rock		MUS	2024-11-30T09:10:44	2023-12-01T11:23:59	The Strokes|Julian Casablancas|Nick Valensi|Albert Hammond Jr|Nikolai Fraiture|Fabrizio Moretti
