Role	ID	ID_Qui	ID_Quoi	Descr	Info	CreatTS	ModifTS	ID_Groupe	
Role	500	52	721	F1		2024-11-30T09:10:42	2023-11-26T19:32:44	0
Role	4811	2703	3652	Ecrivain		2024-11-30T09:10:43		0
Role	148	617	567	F2-Madame		2024-11-30T09:10:41		0
Role	902	504	890	M1		2024-11-30T09:10:42		0
Role	1052	1713	992	F1-Maman		2024-11-30T09:10:41		0
Role	503	585	721	M2-Commendeur		2024-11-30T09:10:42	2023-11-26T19:45:46	0
Role	308	23	639	F1		2024-11-30T09:10:41		0
Role	884	12	882	F1		2024-11-30T09:10:42		0
Role	1223	2256	3852	F2-Voisine dealeuse		2024-11-30T09:10:42		0
Role	1069	1723	1516	M-Notaire		2024-11-30T09:10:41		0
Role	69	584	530	M2		2024-11-30T09:10:42		0
Role	3507	2180	3235	Musicien		2024-11-30T09:10:43		0
Role	3505	2430	2609	Musicien		2024-11-30T09:10:43		0
Role	5271	2272	1978			2024-11-30T09:10:43		0
Role	742	204	820	F1		2024-11-30T09:10:41		0
Role	988	519	936	M1		2024-11-30T09:10:41		0
Role	700	10	806	F1		2024-11-30T09:10:43		0
Role	57	383	524	M1		2024-11-30T09:10:43		0
Role	808	328	845	F1		2024-11-30T09:10:42	2024-05-23T19:31:35	0
Role	4114	1908	1858	Musicien		2024-11-30T09:10:42		0
Role	4888	2732	3729	Ecrivain		2024-11-30T09:10:43		0
Role	4055	2041	2520	Musicien		2024-11-30T09:10:42		0
Role	3067	0	2270	Groupe		2024-11-30T09:10:42	0	0
Role	1094	446	723	M2-Chasseur de Safari		2024-11-30T09:10:41		0
Role	5562	2811	3981			2024-11-30T09:10:43		0
Role	3047	1930	1738			2024-11-30T09:10:42	0	0
Role	385	149	671	F1-Duras à 17 ans		2024-11-30T09:10:42		0
Role	833	170	854	F1		2024-11-30T09:10:42		0
Role	5272	2272	2093			2024-11-30T09:10:43		0
Role	5503	2838	3928			2024-11-30T09:10:43	2023-12-06T21:59:18	0
Role	107	614	551	M2		2024-11-30T09:10:42		0
Role	108	128	552	F1		2024-11-30T09:10:42	2024-05-23T17:32:56	0
Role	314	414	642	M1		2024-11-30T09:10:42		0
Role	3851	2058	2502	Musicien		2024-11-30T09:10:42		0
Role	3004	2270	2983	Artiste		2024-11-30T09:10:42	0	0
Role	3003	2270	2749	Artiste		2024-11-30T09:10:42	0	0
Role	3872	2535	2411	Musicien		2024-11-30T09:10:41		0
Role	2	239	501	F2		2024-11-30T09:10:41	21/08/2023 12:41:34	0
Role	165	419	575	M1		2024-11-30T09:10:42		0
Role	3161	2152	2275	Musicien		2024-11-30T09:10:43		0
Role	831	515	853	M1		2024-11-30T09:10:41		0
Role	622	72	772	F1		2024-11-30T09:10:42	2024-05-23T19:29:53	0
Role	172	395	582	M1		2024-11-30T09:10:42		0
Role	936	543	907	M1		2024-11-30T09:10:42	2024-01-08T21:05:29	0
Role	1204	2241	3850	M2-Sylvinet		2024-11-30T09:10:42		0
Role	1150	1764	613	F1-Linda Moon		2024-11-30T09:10:41	2024-05-23T19:43:07	0
Role	609	531	766	M1		2024-11-30T09:10:41		0
Role	3121	1875	2076	Musicien		2024-11-30T09:10:42		0
Role	3891	2540	2517	Musicien		2024-11-30T09:10:42		0
Role	692	305	802	F1		2024-11-30T09:10:41		0
Role	662	336	789	F1		2024-11-30T09:10:41	2024-05-26T21:09:08	0
Role	5	310	502	F1		2024-11-30T09:10:42	2024-05-23T17:32:05	0
Role	6	385	502	M1		2024-11-30T09:10:42	2023-09-20T21:14:00	0
Role	139	30	564	F1		2024-11-30T09:10:41		0
Role	1092	1720	684	M1-collectionneur photos		2024-11-30T09:10:41		0
Role	4045	1841	2315	Musicien		2024-11-30T09:10:42		0
Role	565	660	748	M1		2024-11-30T09:10:41		0
Role	1200	244	3850	F1-Fadette		2024-11-30T09:10:42	2024-05-23T16:34:46	0
Role	1123	285	1533			2024-11-30T09:10:42		0
Role	638	376	778	M1		2024-11-30T09:10:42		0
Role	624	513	772	M1		2024-11-30T09:10:42		0
Role	625	342	773	F1		2024-11-30T09:10:42	2024-03-10T22:19:18	0
Role	5284	2272	1914			2024-11-30T09:10:43		0
Role	456	367	701	M1		2024-11-30T09:10:42		0
Role	457	338	702	F1		2024-11-30T09:10:42		0
Role	3887	1826	3332	Musicien		2024-11-30T09:10:42		0
Role	3089	2286	3311	Musicien		2024-11-30T09:10:42		0
Role	3170	2314	3426	Musicien		2024-11-30T09:10:43		0
Role	150	223	568	F2		2024-11-30T09:10:42		0
Role	1151	1765	613	F2-Contrat1 Linda		2024-11-30T09:10:42		0
Role	591	448	759	M1		2024-11-30T09:10:42		0
Role	311	436	640	M1		2024-11-30T09:10:42		0
Role	737	483	818	M1		2024-11-30T09:10:42		0
Role	5266	2272	2289			2024-11-30T09:10:43		0
Role	4902	2739	3743	Ecrivain		2024-11-30T09:10:43		0
Role	5593	393	4039			2024-11-30T09:10:44		0
Role	117	465	556	M2		2024-11-30T09:10:42		0
Role	310	247	640	F1		2024-11-30T09:10:41		0
Role	103	538	550	M1		2024-11-30T09:10:41		0
Role	562	635	747	M2		2024-11-30T09:10:41		0
Role	739	204	819	F1		2024-11-30T09:10:41	2024-05-23T19:30:59	0
Role	1143	1762	768	M1-Tuche cadet		2024-11-30T09:10:42		0
Role	3105	2291	3228	Musicien		2024-11-30T09:10:42		0
Role	5399	2788	692	M2-le chanteur à succès		2024-11-30T09:10:43	2023-09-18T20:48:20	0
Role	1112	1742	1529			2024-11-30T09:10:42		0
Role	1113	380	1530	M2-Inspecteur		2024-11-30T09:10:42		0
Role	472	471	710	M1		2024-11-30T09:10:42		0
Role	790	305	837	F1		2024-11-30T09:10:41		0
Role	1115	1743	1530			2024-11-30T09:10:41		0
Role	985	486	933	M1		2024-11-30T09:10:41		0
Role	3903	1839	2633	Musicien		2024-11-30T09:10:42		0
Role	4063	1836	2623	Musicien		2024-11-30T09:10:42		0
Role	4660	2621	3836	Artiste		2024-11-30T09:10:42		0
Role	245	565	612	M1		2024-11-30T09:10:41	2023-12-02T20:35:50	0
Role	853	442	863	M1		2024-11-30T09:10:42		0
Role	4118	2221	2892	Musicien		2024-11-30T09:10:42		0
Role	958	558	916	M1-le 1er amant riche crétin		2024-11-30T09:10:41	2023-11-09T20:07:57	0
Role	3840	2526	3146	Musicien		2024-11-30T09:10:42		0
Role	4021	1791	3150	Musicien		2024-11-30T09:10:42		0
Role	657	364	785	M1		2024-11-30T09:10:42		0
Role	181	594	587	M2		2024-11-30T09:10:41		0
